### Log de Execucao do Consumidor - 18:26:50 ###

[18:26:50] - Dado 18 recebido e processado como 'Par'.
[18:26:51] - Dado 47 recebido e processado como 'Impar'.
[18:26:51] - Dado 76 recebido e processado como 'Par'.
[18:26:52] - Dado 2 recebido e processado como 'Par'.
[18:26:53] - Dado 40 recebido e processado como 'Par'.
[18:26:54] - Dado 15 recebido e processado como 'Impar'.
[18:26:54] - Dado 54 recebido e processado como 'Par'.
[18:26:56] - Dado 78 recebido e processado como 'Par'.
[18:26:57] - Dado 97 recebido e processado como 'Impar'.
[18:26:58] - Dado 15 recebido e processado como 'Impar'.
[18:27:00] - Dado 58 recebido e processado como 'Par'.
[18:27:00] - Dado 19 recebido e processado como 'Impar'.
[18:27:01] - Sinal de termino recebido. Encerrando.
